,Crop,N,P,K,pH,soil_moisture
0,rice,80,40,40,5.5,30
3,maize,80,40,20,5.5,50
5,chickpea,40,60,80,5.5,60
12,kidneybeans,20,60,20,5.5,45
13,pigeonpeas,20,60,20,5.5,45
14,mothbeans,20,40,20,5.5,30
15,mungbean,20,40,20,5.5,80
18,blackgram,40,60,20,5,60
24,lentil,20,60,20,5.5,90
60,pomegranate,20,10,40,5.5,30
61,banana,100,75,50,6.5,40
62,mango,20,20,30,5,15
63,grapes,20,125,200,4.5,60
66,watermelon,100,10,50,5.5,70
67,muskmelon,100,10,50,5.5,30
69,apple,20,125,200,6.5,50
74,orange,20,10,10,4,60
75,papaya,50,50,50,6,20
88,coconut,20,10,30,5,45
93,cotton,120,40,20,5.5,70
94,jute,80,40,40,5.5,20
95,coffee,100,20,30,5.5,20
1,Passion fruit,60,30,50,6.0,40
3,Lime Lemon,50,30,55,5.5,40
4,Other Fruits,70,40,50,6.0,45
5,Cauliflower,100,50,50,6.5,50
6,Cabbage,90,45,45,6.5,55
7,Tomato,60,30,60,6.0,50
8,Pea,20,30,20,6.5,50
9,Potato,80,40,60,5.5,60
10,Others Vegetables,70,35,45,6.0,50
11,Chilli,60,30,60,6.0,45
12,Ginger,50,25,50,6.0,70
13,Turmeric,40,30,40,6.0,70
